Etunimi,Lukumäärä
Isla,"1,602"
Marketta,"1,601"
Eini,"1,584"
Natalia,"1,574"
Moona,"1,570"
Aava,"1,563"
Selma,"1,563"
Joanna,"1,562"
Varpu,"1,559"
Heljä,"1,553"
Anna-Kaisa,"1,552"
Eerika,"1,551"
Irmeli,"1,551"
Hertta,"1,551"
Maisa,"1,520"
Janna,"1,488"
Isabella,"1,450"
Titta,"1,447"
Tuulikki,"1,446"
Elsi,"1,442"
Kia,"1,436"
Kerstin,"1,426"
Anna-Maria,"1,426"
Brita,"1,415"
Laina,"1,404"
Frida,"1,384"
Christina,"1,375"
Marjaana,"1,366"
Lena,"1,365"
Raisa,"1,358"
Lempi,"1,354"
Marja-Terttu,"1,347"
Anitta,"1,337"
Tuovi,"1,337"
Vanessa,"1,332"
Kirsi-Marja,"1,327"
Miisa,"1,327"
Mette,"1,304"
Kyllikki,"1,301"
Ninni,"1,256"
Tia,"1,254"
Annukka,"1,250"
Mikaela,"1,239"
Cecilia,"1,229"
Tilda,"1,228"
Inger,"1,225"
Kiira,"1,224"
Aurora,"1,213"
Hanna-Mari,"1,205"
Seela,"1,205"
Berit,"1,196"
Aliisa,"1,196"
Hanna-Leena,"1,195"
Miina,"1,191"
Iisa,"1,180"
Ira,"1,172"
Elin,"1,170"
Helinä,"1,167"
Reeta,"1,167"
Anna-Mari,"1,143"
Else,"1,141"
Siv,"1,137"
Marja-Riitta,"1,133"
Barbro,"1,131"
Raila,"1,129"
Thi,"1,126"
Henni,"1,124"
Tina,"1,102"
Sointu,"1,098"
Melissa,"1,092"
Carola,"1,089"
Elise,"1,087"
Marianna,"1,085"
Aura,"1,085"
Lisa,"1,080"
Daniela,"1,079"
Kaisla,"1,079"
Siru,"1,075"
Tuulia,"1,073"
Solveig,"1,070"
Hely,"1,068"
Stina,"1,064"
Malin,"1,062"
Katarina,"1,040"
Melina,"1,037"
Valma,"1,032"
Pirkko-Liisa,"1,025"
Saima,"1,025"
Anna-Leena,"1,017"
Karita,998
Gunilla,977
Lyyli,975
Maj-Britt,969
Anne-Maria,969
Ester,966
Marjo-Riitta,966
Annina,964
Sanna-Mari,963
Pilvi,958
Marie,957
Svetlana,956
Carina,954
Teresa,945
Tinja,938
Liina,931
Greta,914
Säde,910
Juuli,909
Enna,908
Virva,905
Leea,901
Eliisa,895
Taika,895
Susan,889
Bertta,883
Lina,878
Monika,876
Maija-Leena,875
Mimosa,872
Mea,870
Gunnel,868
Gun,867
Henriikka,867
Tessa,867
Hanna-Kaisa,865
Elle,863
Kira,862
Liisi,862
Saaga,855
Erin,852
Lilian,851
Tellervo,844
Milka,841
Sarah,837
Astrid,835
Aulikki,831
Charlotta,830
Nanna,825
Riia,821
Erica,820
Janica,819
Neela,817
Diana,816
Marjukka,803
Victoria,803
Anne-Marie,801
Harriet,790
Suoma,790
Rebecca,789
Nadja,789
Inna,787
Mirjami,787
Åsa,785
Margareta,785
Tatiana,783
Gunvor,779
Annu,771
Ansa,767
Maaret,766
Jatta,754
Josefiina,753
Janni,746
Ruth,745
Mirella,744
Ingrid,744
Jasmine,734
Onerva,728
Edith,726
Nita,726
Nelly,725
Pipsa,721
Ruut,721
Rebekka,719
Ebba,719
Benita,718
Lyydia,710
Doris,706
Annamari,705
Aleksandra,700
Mailis,700
Adele,699
Sohvi,697
Piritta,696
Mimmi,694
Vivian,694
Rea,691
Orvokki,690
Verna,688
Pirita,681
Aida,679
Ann-Mari,677
Isa,665
Ilmi,657
Minka,645
Britta,643
Elna,641
Mirkka,641
Impi,639
Alice,633
Kaino,633
Iita,633
Annette,625
Alva,624
Yvonne,610
Iines,608
Matleena,605
Ann,605
Maj-Lis,604
Sarita,603
Unna,601
Lila,600
Saini,599
Fiona,597
Sofie,595
Ina,595
Tove,595
Pirjo-Riitta,593
Sylvia,590
Jennifer,590
Raakel,589
Minni,589
Aamu,586
Regina,585
Meea,581
Malla,581
Ilse,581
Anastasia,580
Selina,580
Ekaterina,580
Isabel,574
Hanna-Maria,565
Marju,564
Martina,560
Sabina,559
Ava,557
Lilia,548
Inari,544
Amalia,543
Luna,543
Hellevi,540
Siri,537
Jasmiina,534
Christa,533
Ritva-Liisa,533
Elviira,532
Christel,530
Signe,529
Henna-Riikka,529
Elisabeth,528
Patricia,527
Ulrika,524
Carolina,519
Ines,517
Anne-Maarit,516
Eivor,516
Tara,514
Hillevi,513
Ida-Maria,511
Pirjo-Liisa,508
Amelia,503
Lisbeth,503
Viena,501
Tatjana,499
Kielo,497
Maya,495
Galina,495
Helen,494
Ria,492
Eija-Liisa,488
Esteri,487
Jessika,486
Valentina,484
Elisabet,483
Milena,479
Sirja,479
Sanna-Kaisa,477
Sinna,473
Natalie,472
Linn,470
Veronica,468
Eeva-Maria,466
Eve,466
Siina,465
Agneta,465
Eeva-Maija,461
Emily,461
Selja,456
Tua,455
Felicia,452
Maaria,448
Sanna-Maria,440
Soila,440
Märta,439
Meiju,438
Mary,435
Sani,430
Claudia,429
Rakel,428
Lydia,426
Lara,425
Hellin,424
Anna-Sofia,423
Hellä,420
Tamara,419
Vilhelmiina,417
Charlotte,417
Noomi,416
Bea,412
Anne-Maj,410
Iida-Maria,409
Elvira,409
Evelina,407
Ellinoora,406
Josefina,403
Maili,402
Heleena,401
Agnes,401
Stiina,399
Nicole,399
Sofi,399
Michelle,399
Christine,396
Miranda,396
Teea,394
Lumia,393
Hannamari,392
Jane,392
Silva,391
Julianna,391
Assi,390
Livia,389
Michaela,389
Lili,387
Sarianna,387
Nathalie,384
Helmiina,382
Gun-Britt,380
Lily,379
Melinda,378
Svea,376
Roosa-Maria,376
Gretel,375
Jeanette,375
Ulpu,373
Loviisa,373
Bettina,373
Emelie,373
Nuppu,372
Annemari,371
Hanna-Maija,371
Maj,370
Jelena,369
Caroline,369
Briitta,369
Liinu,368
Jannika,363
Alissa,362
Nana,360
Leena-Maija,357
Silvia,356
Larissa,355
Tiia-Maria,352
Karla,352
Göta,351
Fiia,351
Kirsi-Maria,351
Ann-Marie,350
Anelma,348
Aliina,348
Aina,346
Madeleine,345
Edit,345
Minna-Liisa,344
Pamela,344
Nenna,341
Raija-Liisa,340
Jarna,339
Moa,336
Karolina,332
Jasmina,331
Annastiina,330
Mandi,329
Mirja-Liisa,329
Sophie,328
Rut,327
Rebecka,327
Lenita,324
Pernilla,324
Miira,322
Eedit,322
Hannah,322
Clara,320
Ann-Christine,320
Veronika,318
Kaarin,317
Linnéa,317
Leeni,316
Amina,315
Merita,315
Viktoria,315
Henrietta,314
Gerd,314
Erna,311
Amelie,308
Jenniina,306
Maj-Len,305
Sophia,305
Vaula,304
Rosita,304
Mathilda,304
Ramona,304
Helene,303
Andrea,302
Maja,302
Eeva-Kaisa,300
Alicia,300
Hulda,300
Riika,299
Marit,299
Vivi,298
Lidia,296
Mariitta,295
Elea,295
Beata,295
Mari-Anne,292
Mariia,292
Lisbet,291
Milana,291
Sanja,289
Iitu,288
Rosanna,286
Yasmin,286
Salla-Mari,282
Hilppa,282
Jessi,281
Sonia,281
Louna,281
Hanna-Riikka,281
Beatrice,281
Arja-Liisa,280
Eeva-Riitta,280
Raita,280
Ursula,279
Ninja,279
Kreetta,278
Eeva-Leena,277
Thea,276
Mai,276
Annica,275
Kaija-Leena,270
Anri,270
Carla,270
Miriam,269
Susa,268
Samira,268
Sade,266
Anna-Riikka,262
Kajsa,262
Maija-Riitta,261
Angelica,260
Britt-Marie,260
Hjördis,258
Henrika,255
Laimi,254
Ilta,254
Micaela,254
Viveka,253
Ann-Christin,253
Aisha,252
Disa,252
Jennie,252
Ilma,251
Maikki,251
Mariella,251
Paulina,251
Karina,251
Ninna,250
Anna-Riitta,250
Arja-Leena,250
Rosa-Maria,250
Else-Maj,248
My,247
Marlene,247
Bella,247
Jenina,244
Tiiu,244
Mariam,243
Maini,243
Susann,242
Margarita,242
Hanni,241
Miila,241
Leona,241
Anna-Lena,239
Viveca,238
Josefine,238
Sanelma,237
Justiina,236
Josefin,235
Meri-Tuuli,235
Suvi-Tuuli,234
Nadia,234
Sirke,234
Bianca,234
Eeva-Kaarina,234
Nette,234
Fatima,233
Louise,232
Ylva,232
Edla,232
Anna-Lisa,232
Arla,231
Annakaisa,230
Auni,229
Riitta-Leena,229
Sirpa-Liisa,229
Hanna-Liisa,228
Anna-Kaarina,228
Salma,228
Marke,227
Seidi,227
Marleena,227
Etel,226
Britt,226
Freja,226
Eva-Maria,225
Klara,224
Lilly,224
Evi,224
Ulla-Riitta,223
Kaija-Liisa,223
Aino-Maija,223
Melisa,223
Emilie,222
Dina,222
Minna-Maria,221
Merja-Liisa,221
Jannica,221
Auri,220
Eliina,220
Sanna-Maija,218
Lia,218
Sannamari,217
Catharina,216
Telma,216
Jadessa,215
Sarianne,215
Elmi,214
Aino-Maria,214
Naomi,212
Klaara,210
Katrina,210
Leni,209
Nancy,209
Margita,208
Pia-Maria,208
Ann-Sofie,208
Solja,208
Heidi-Maria,207
Tilde,207
Sabrina,207
Juliana,207
Cassandra,207
Pieta,206
Päivikki,206
Jennika,206
Emmiina,206
Sigrid,205
Noona,203
Sanna-Leena,203
Janet,203
Tinka,203
Angelina,202
May,202
Kukka,201
Ruusa,201
Synnöve,201
Isabelle,201
Elli-Noora,200
Wilhelmiina,200
Gunhild,199
Gurli,199
Kukka-Maaria,199
Minna-Mari,198
Adelina,197
Sissi,197
Eija-Riitta,196
Zahra,196
Tia-Maria,196
Bodil,194
Amira,194
Liia,194
Anne-Maija,194
Gabriella,193
Catarina,193
Piitu,193
Ann-Britt,192
Sallamari,191
Marissa,190
Lovisa,190
Vivan,189
Alla,189
Reea,188
Maia,188
Ksenia,187
Angela,187
Usva,187
Molly,186
Satu-Maarit,186
Sally,185
Annie,185
Carmen,184
Ellinor,184
Gertrud,184
Larisa,183
Nadezda,183
Magdalena,183
Marica,182
Ethel,181
Valeria,181
Kreeta,181
Sina,180
Riitta-Maija,180
Tekla,179
Rianna,179
Annele,178
Emmy,178
Kiti,178
Jana,178
Antonia,177
Mariel,177
Ann-Sofi,177
Inga-Lill,177
Kaisa-Leena,176
Dagny,176
Filippa,175
Ani,175
Ingegerd,175
Peppiina,175
Liudmila,175
Anne-Marja,174
Jasmi,174
Elizabeth,173
Sienna,173
Kamilla,172
Adalmiina,172
Daria,172
Suvi-Tuulia,171
Ruusu,171
Juliaana,171
Eleonora,171
Annamaija,170
Kirsikka,169
Maryam,169
Lotte,168
Tarja-Leena,168
Cindy,168
Venny,168
Fia,167
Ella-Maria,167
Tiina-Liisa,167
Evita,166
Ljudmila,166
Majlis,166
Meimi,166
Helle,165
Ingeborg,165
Gudrun,165
Denise,165
Minerva,164
Tanya,164
Gunborg,163
Katrin,162
Amy,162
Lyyti,160
Betty,160
Hille,159
Raija-Leena,159
Marta,158
Margaretha,158
Rina,157
Crista,157
Ann-Charlotte,156
Ranja,156
Klaudia,156
Nanni,156
Celina,155
Ann-Kristin,154
Pirjo-Leena,153
Nellie,152
Annaleena,152
Henna-Maria,152
Mimi,152
Ana,152
Katri-Helena,152
Anni-Maria,151
Hedvig,150
Iira,150
Margot,150
Hilpi,149
Clarissa,149
Lisen,149
Rose-Marie,148
Adeliina,148
Karen,147
Milma,147
Tarja-Liisa,147
Gerda,147
Tindra,146
Tiia-Mari,145
Thelma,145
Lucia,145
Ida-Sofia,145
Santra,145
Hannaleena,144
Polina,144
Tiitu,143
Julie,143
Mina,142
Rose,142
Annamaria,142
Elizaveta,141
Tiina-Maija,141
Wenla,140
Kaisa-Maria,140
Manta,140
Maria-Liisa,140
Fadumo,140
Theresa,139
Leena-Kaisa,139
Cia,139
Stephanie,139
Aino-Kaisa,139
Janniina,138
Ulla-Britt,137
Miia-Maria,137
Maria-Leena,137
Martha,137
Jenni-Maria,136
Hilkka-Liisa,136
Eva-Liisa,136
Esther,136
Catherine,136
Gunnevi,135
Mia-Maria,135
Natasha,135
Viia,135
Nia,134
Karola,134
Salla-Maria,134
Nina-Maria,133
Laura-Maria,133
Ragni,133
Ann-Louise,132
Märtha,132
Sara-Sofia,132
Anna-Reetta,132
Iia,131
Marja-Sisko,131
Kata,131
Renja,131
Tania,131
Yulia,131
Milla-Maria,131
Hanne-Mari,131
Fredrika,130
Ragnhild,130
Marie-Louise,130
Judit,130
Annabella,129
Saara-Maria,129
Melanie,129
Anna-Elina,128
Belinda,127
Meri-Tuulia,127
Judith,127
Suvi-Päivikki,126
Sanna-Liisa,126
Mariana,126
Miitta,126
Marisa,124
Pulmu,124
Lumina,124
Adelia,123
Seija-Liisa,123
Liv,123
Adessa,123
Cilla,122
Ann-Maj,122
Therese,122
Barbara,122
Carin,121
Jenita,121
Anna-Stina,120
Liana,120
Malena,120
Dorrit,120
Riikka-Liisa,120
Gun-Maj,120
Nilla,120
Gabriela,119
Inge,119
Tiina-Maria,119
Selena,119
Cristina,118
Niia,118
Eden,118
Sofianna,118
Tiina-Mari,118
Ritva-Leena,118
Pälvi,117
Anja-Riitta,117
Yasmine,117
Henna-Mari,117
Marian,116
Darja,116
Lola,116
Marikki,115
Nona,115
Angelika,115
Malva,115
Unelma,115
Eeva-Marja,115
Lioudmila,115
Nonna,114
Dana,114
Yrsa,113
Ia,113
Daniella,113
Kanerva,112
Oxana,112
Anna-Emilia,111
Anna-Kristiina,111
Evgenia,111
Ngoc,111
Ghita,111
Annikka,111
Aurelia,111
Ann-Lis,111
Ringa,111
Senna,111
Ingela,110
Ulla-Maria,109
Kristel,109
Saida,109
Odessa,109
Marjaleena,109
Eedla,109
Kim,109
Merituuli,109
Linda-Maria,108
Pirre,108
Enja,108
Freya,107
Terese,107
Talvikki,107
Kaisa-Liisa,107
Merja-Riitta,107
Nitta,107
Tuula-Maija,107
Suvi-Maria,106
Satu-Maria,106
Iida-Sofia,106
Maj-Gret,106
Kitty,106
Natalja,106
Jennica,106
Menni,105
Lillemor,105
Sivi,105
Evelyn,105
Oksana,105
Dora,105
Monna,105
Vanamo,104
Katharina,104
Lauha,104
Minnea,104
Nicola,104
Linne,104
Beda,103
Majvor,103
Annaliisa,103
Runa,103
Ulla-Mari,103
Janessa,102
Peggy,102
Eleonoora,102
Rachel,102
Zainab,101
Tuisku,101
Simone,101
Halla,101
Oosa,101
Mirja-Leena,101
Ona,101
Tilma,100
Marja-Helena,100
Norma,100
Milaja,100
Rhea,99
Jetta,99
Raini,99
Antonina,99
Sari-Anne,99
Nicolina,99
Gunn,98
Hedda,98
Marion,98
Hellen,98
Nadejda,98
Adriana,97
Riikka-Maria,97
Sirje,97
Maud,97
Serena,97
Britt-Mari,97
Anne-Riitta,97
Ulla-Marja,97
Daisy,97
Sira,97
Lyydi,97
Adina,97
Sylva,97
Arja-Riitta,97
Tuike,97
Iman,97
Friida,96
Safia,96
Ludmila,95
Nanne,95
Sallamaari,95
Ellie,95
Anisa,95
Eimi,95
Evelin,94
Eija-Leena,94
Rinna,94
Tyra,93
Annariina,93
Alexia,93
Janiina,93
Liubov,92
Nelma,92
Gun-Lis,92
Arina,92
Samantha,92
Rilla,92
Alena,92
Ulrica,92
Urpu,92
Emma-Sofia,92
Paju,92
Tutta,92
Anna-Marja,91
Sabine,91
Sera,91
Nova,91
Hanna-Riitta,91
Hilve,91
Josephine,91
Milda,90
Sahra,90
Myy,90
Wilhelmina,90
Gisela,89
Jolanda,89
Mariela,89
Kate,89
Tyyni,89
Elsie,89
Saskia,89
Ruska,89
Ulla-Maj,88
Irja-Liisa,88
Estrid,88
Henny,88
Anni-Mari,88
Juliet,88
Hannakaisa,87
Amal,87
Nikita,87
Inga-Britt,87
Sinja,87
Leyla,87
Minnamari,87
Ljubov,86
Kiara,86
Minna-Leena,86
Tatja,86
Emmi-Lotta,86
Peppi-Lotta,86
Leah,86
Anja-Liisa,86
Marjaliisa,86
Terja,86
Nanny,86
Juni,86
Anni-Sofia,86
Tita,86
Sara-Maria,85
Zara,85
Minna-Maarit,85
Ariana,85
Kaisa-Mari,84
Lulu,84
Minna-Riitta,84
Ea,84
Kirsi-Maarit,84
Katerina,84
Tuula-Marja,84
Tiina-Riitta,84
Sonya,84
Helly,84
Alise,83
Elmiina,83
Kirsimarja,83
Mirette,83
Serafiina,83
Liisa-Maria,83
Gunda,83
Hennariikka,83
Emma-Lotta,83
Alessia,83
Ainu,82
Nessa,82
Valborg,82
Sella,82
Anna-Stiina,82
Ewa,82
Jannina,82
Sanna-Maarit,81
Jekaterina,81
Alexa,81
Aniitta,81
Maarika,81
Rania,81
Celine,81
Jennina,81
Gunn-Britt,81
Neelia,81
Rauna,80
Vella,80
Seelia,80
Anna-Katariina,80
Tiuku,79
Merike,79
Enne,79
Sini-Maria,79
Jenna-Maria,79
Merja-Leena,79
Vivia,78
Anna-Karin,78
Maura,78
Salla-Maaria,78
Marja-Kaarina,78
Hafsa,78
Sharon,78
Anne-Kristiina,78
Nada,78
Zeinab,78
Mariann,78
Meira,77
Anitra,77
Marija,77
