Etunimi,Lukumäärä
Kimi,"1,349"
Alvar,"1,347"
Elmo,"1,294"
Timi,"1,290"
Rauli,"1,285"
Jari-Pekka,"1,284"
Bo,"1,279"
Per,"1,259"
Patrick,"1,249"
Touko,"1,240"
Taavi,"1,236"
Björn,"1,233"
Simon,"1,227"
Fredrik,"1,204"
Jonathan,"1,202"
Heino,"1,201"
Viktor,"1,201"
Raine,"1,195"
Vertti,"1,172"
Verneri,"1,148"
Jooa,"1,143"
Juhana,"1,130"
Michael,"1,129"
Jiri,"1,123"
Mico,"1,083"
Ulf,"1,071"
Felix,"1,069"
Linus,"1,062"
Kevin,"1,061"
Dan,"1,058"
Kosti,"1,056"
Eerik,"1,054"
Helge,"1,048"
Tuure,"1,041"
Jan-Erik,"1,031"
Casper,"1,025"
Eemi,"1,005"
Sampsa,"1,004"
Milo,"1,001"
Tobias,993
Mathias,987
Artturi,978
Mohamed,963
David,958
Armas,955
Bror,950
Allan,944
Ville-Veikko,927
Christer,922
Niki,920
Auvo,917
Ilmo,910
Visa,906
Erkka,898
Jens,896
Magnus,886
Taito,875
Alf,861
Adam,842
Kjell,836
Iikka,828
Roger,820
Krister,818
Noah,813
Victor,810
Valto,809
Edvin,804
Jalo,778
Göran,778
Petrus,772
Jose,772
Altti,771
Jussi-Pekka,762
Marco,761
Vesa-Matti,757
Jeremias,757
Börje,751
Joose,751
Niclas,746
Waltteri,742
Aleksanteri,741
Jarl,740
Isto,735
Tiitus,734
Sasu,733
Kaarle,731
Jimmy,731
Ukko,730
Albert,727
Teo,716
Jon,708
Jonatan,702
Eliel,701
Okko,687
Antton,684
Filip,681
Nikolas,672
Tor,668
Johnny,665
Roy,662
Niila,638
Richard,632
Torsti,626
Paulus,623
Eric,622
Nicolas,622
Turo,617
Ahmed,612
Oula,607
Jim,605
Dennis,599
Jonni,599
Åke,590
Iivari,586
Leon,585
Elia,584
Ensio,582
Noa,577
Hemmo,576
Tim,572
Håkan,566
Christoffer,563
Liam,561
Gabriel,561
Rene,557
Bjarne,553
Kauno,549
Ilja,545
Nicholas,542
Andrei,540
Reko,539
Vincent,536
Ben,535
Atso,525
Usko,524
Isak,523
Gunnar,523
Jalmari,522
Raino,520
Hermanni,516
Ville-Pekka,515
Mark,511
Frank,511
Eevert,509
Iivo,509
Venni,508
Sam,508
Vesa-Pekka,504
Mio,501
Petja,500
Rafael,496
Nikolai,492
Miki,489
Juri,487
Pietari,480
Mirko,476
Dani,475
Jasu,471
Eppu,469
Guy,469
Antti-Jussi,467
Aamos,466
Walter,466
Eljas,462
Adrian,460
Toimi,456
Theo,454
Arno,453
Aapeli,449
Valter,449
Elis,446
Aron,446
Arne,445
Kari-Pekka,440
Georg,439
Vladimir,438
Gustav,430
Amos,426
Jare,421
Aatto,419
Sten,418
Jaro,417
Antti-Pekka,417
Aukusti,416
Boris,412
Pontus,411
Einari,408
Christopher,407
Turkka,402
Ronny,400
Arsi,395
Tage,390
Nicklas,390
Samppa,389
Into,388
Pekko,387
Klas,384
Kent,382
Rune,381
Neo,378
Soini,378
Antto,375
Uuno,375
André,373
Kaius,372
Mohammad,371
Mattias,370
Aksel,364
Kristoffer,357
Jakob,352
Asmo,352
Omar,350
Mikke,347
Orvo,342
Wille,340
Ole,339
Osku,339
Bruno,334
Jonny,333
Aleksandr,333
Sergei,332
Matts,328
Romeo,326
Nestori,326
Elliot,325
Artur,324
Van,323
Maxim,322
Elmer,321
Ville-Petteri,320
Ivan,317
Nino,317
Vilppu,314
Valde,313
Svante,310
Joa,310
Anttoni,309
Igor,306
Philip,306
Kaino,306
Albin,305
Arthur,305
Karo,302
Pete,302
Aleksander,300
Pavel,298
Herman,298
Pietu,298
Olof,298
Wilhelm,297
Ruben,296
Esa-Pekka,296
Mohammed,296
Mitja,295
Ove,294
Erkko,294
Gösta,293
Pirkka,292
Per-Erik,292
Ville-Matti,292
Lennart,291
Hannu-Pekka,291
Birger,291
Kasimir,290
Mertsi,290
Aake,290
Ibrahim,289
Jacob,289
Jari-Matti,289
Asser,287
Bernt,284
Jörgen,284
James,283
Torsten,282
Karim,282
Jean,282
Abdirahman,279
Sune,279
Herkko,278
Maunu,278
Amir,277
Petro,276
Aleksis,275
Roland,275
Viljam,274
Ari-Matti,274
Einar,274
August,273
Nikita,272
Vihtori,272
Joosua,271
Petter,271
Ernst,269
Nikke,269
Evert,268
Jack,268
Marius,265
Benny,264
Totti,264
Berndt,263
Edvard,263
Joachim,263
Alvin,263
Denis,262
Roman,262
Maximilian,262
Edward,262
Karl-Erik,259
Iisakki,257
Rikhard,257
Jaani,257
Juho-Pekka,257
Masi,257
Immo,256
Timo-Pekka,254
Alfred,254
Arvid,253
Rony,252
Verner,252
Aslak,251
Dick,250
Ohto,250
Jake,249
Jetro,248
Jason,247
Kuisma,247
Valo,246
Dimitri,244
Knut,243
Lars-Erik,242
Joshua,241
Muhammad,239
Ted,239
Bertel,238
Carl-Johan,237
Aleksei,237
Ingmar,236
Eeti,236
Abdullahi,235
Oleg,233
Manne,232
Jone,231
Peik,230
Julian,229
Charles,229
Anselmi,227
Olli-Matti,226
Pessi,226
Samir,225
Mårten,225
Yngve,225
Ivar,221
Rauni,220
Kare,220
Ola,217
Ronnie,217
Konstantin,217
Alvari,216
Holger,216
Staffan,214
Jasse,213
Renne,212
Raul,212
Conny,212
Ian,211
Casimir,211
Ville-Valtteri,209
Wiljami,209
Tore,208
Eddie,207
Jali,205
Aarto,205
Kennet,205
Dmitri,205
Mustafa,205
Maksim,204
Alexandre,203
Sergey,202
Caj,202
Sture,202
Manuel,201
Simeon,201
Anthony,201
Alec,201
Jani-Petteri,199
Aappo,199
Joe,199
Mike,198
Matthew,198
Miio,197
Frej,197
Hassan,197
Jaska,197
Olle,195
Helmer,195
Jermu,195
Melvin,194
Glenn,193
Antonio,193
Dominic,193
Simo-Pekka,192
Sixten,192
Iisak,191
Kerkko,191
Wilmer,191
Veini,190
Ahmad,189
Mikhail,187
Huugo,186
Milton,185
Rico,185
Jarko,185
Ami,185
Edwin,184
Folke,184
René,183
Benjam,182
Sören,182
Kristo,180
Terno,180
Jesperi,180
Jeremia,180
Carlos,179
Leonard,179
Nemo,178
Sami-Pekka,178
Wäinö,177
Karl-Johan,177
Kuutti,177
Jusa,177
Ron,176
Isac,175
Kari-Matti,174
Gustaf,173
Mihail,173
Fred,173
Harald,172
Atro,172
Sami-Petteri,172
Hussein,171
Micke,171
Rudolf,171
Miiko,170
Marc,169
Hemmi,167
Yusuf,167
Aate,166
Hamza,164
Saska,164
Ken,163
Valentin,163
Vilhelm,162
Kirill,162
Levi,161
Andrew,161
Elja,161
Andrey,161
Ossian,160
Mehmet,159
Jan-Peter,158
Torbjörn,158
Viggo,158
